name,category,installs,extension_id,scale,privilege,incentive_conflict,claim_specificity,testability,potential_harm,reproducibility,novelty,priority_score,lead,source
Merlin AI,AI assistant,900000,camppjleccjaphfdbohjdohecfnoikec,3,5,5,4,5,4,5,5,90.4,Affiliate attribution boundaries; passive vs invoked behavior,https://chromewebstore.google.com/detail/merlin-ai/camppjleccjaphfdbohjdohecfnoikec
Hola VPN,VPN/privacy,4000000,gkojfkhlekighikafcpjkiklfbnlmeio,4,5,3,5,5,5,5,4,89.6,Browsing-history/visited-site telemetry claims vs observed traffic,https://chromewebstore.google.com/detail/hola-vpn-your-website-unb/gkojfkhlekighikafcpjkiklfbnlmeio
Capital One Shopping,Shopping/cashback,11000000,nenlahapcbofgnanklpelkaejcehkggg,5,4,5,4,5,4,5,3,89.2,Affiliate attribution replacement and benefit/activation boundaries,https://chromewebstore.google.com/detail/capital-one-shopping-save/nenlahapcbofgnanklpelkaejcehkggg
Coupert,Shopping/cashback,3000000,mfidniedemcgceagapgdekdbmanojomk,4,4,5,4,5,4,5,4,88.4,Affiliate attribution replacement and passive background behavior,https://chromewebstore.google.com/detail/coupert-automatic-coupon/mfidniedemcgceagapgdekdbmanojomk
Rakuten,Shopping/cashback,3000000,chhjbpecpncaggjpdakmflnfcopglcmi,4,4,5,4,5,4,5,3,86.8,One-click cashback activation language vs attribution behavior,https://chromewebstore.google.com/detail/rakuten-get-cash-back-for/chhjbpecpncaggjpdakmflnfcopglcmi
Karma,Shopping/cashback,500000,emalgedpdlghbkikiaeocoblajamonoh,2,4,5,5,5,4,5,4,86.4,Current-page-only/no-browsing-history claim; affiliate attribution boundaries,https://chromewebstore.google.com/detail/karma-online-shopping-but/emalgedpdlghbkikiaeocoblajamonoh
PayPal Honey,Shopping/cashback,13000000,bmnlcjabgnpnenekpadlanbbkooimhnj,5,4,5,4,5,4,5,1,86.0,Regression/behavior-change audit after prior public scrutiny,https://chromewebstore.google.com/detail/honey-automated-coupons-r/bmnlcjabgnpnenekpadlanbbkooimhnj
Urban VPN,VPN/privacy,7000000,eppiocemhmnlbhjplcgkofciiegomcon,4,5,3,3,5,5,5,4,84.0,Connected/disconnected telemetry and destination-data exposure,https://chromewebstore.google.com/detail/urban-vpn-proxy/eppiocemhmnlbhjplcgkofciiegomcon
RetailMeNot,Shopping/cashback,500000,jjfblogammkiefalfpafidabbnamoknm,2,4,5,4,5,4,5,3,82.0,Commission attribution; one-tap/automatic savings boundaries,https://chromewebstore.google.com/detail/retailmenot-codes-cash-ba/jjfblogammkiefalfpafidabbnamoknm
Ibotta,Shopping/cashback,200000,mfaedmjlefifhnhpgipjjiiekchaimpk,1,4,5,4,5,4,5,4,81.2,Explicit cashback activation vs passive affiliate attribution,https://chromewebstore.google.com/detail/ibotta-price-compare-cash/mfaedmjlefifhnhpgipjjiiekchaimpk
Malwarebytes Browser Guard,Security,11000000,ihcjicgdanjaechkgeegckofjjedodee,5,5,1,4,5,4,5,3,79.2,Telemetry minimization and site-data transmission from a trust product,https://chromewebstore.google.com/detail/malwarebytes-browser-guar/ihcjicgdanjaechkgeegckofjjedodee
Sider,AI assistant,5000000,difoiogjjojoaoomphldepapgpbgkhkb,4,5,2,3,5,4,5,4,78.8,Page-content transmission only when invoked vs passive collection,https://chromewebstore.google.com/detail/sider-chat-with-all-ai-gp/difoiogjjojoaoomphldepapgpbgkhkb
ChatGPT,AI/browser agent,4000000,hehggadaopoacecdllhhajmbjkdcmajg,4,5,1,5,5,4,5,2,78.0,Consent boundaries for new-site/history access and browser-control actions,https://chromewebstore.google.com/detail/chatgpt/hehggadaopoacecdllhhajmbjkdcmajg
LastPass,Password manager,8000000,hdokiejnpimakedhajhdlcegeplioahd,4,5,1,4,5,5,5,2,77.2,Telemetry minimization around high-sensitivity page/credential context,https://chromewebstore.google.com/detail/lastpass-free-password-ma/hdokiejnpimakedhajhdlcegeplioahd
1Password,Password manager,7000000,aeblfdkhhhdcdjpifhhbdiojplfjncoa,4,5,1,4,5,5,5,2,77.2,Telemetry minimization around high-sensitivity page/credential context,https://chromewebstore.google.com/detail/1password-%E2%80%93-password-mana/aeblfdkhhhdcdjpifhhbdiojplfjncoa
Grammarly,AI/writing,40000000,kbfnbcaeplbcioakkpcpgfkobkghlhen,5,5,1,3,5,4,5,3,76.4,Passive vs invoked website-content/personal-communication transmission,https://chromewebstore.google.com/detail/grammarly-ai-writing-assi/kbfnbcaeplbcioakkpcpgfkobkghlhen
MaxAI,AI assistant,700000,mhnlakgilnojmhinhkckjpncpbhabphi,3,5,2,3,5,4,5,4,76.4,Passive vs invoked page-content collection and endpoint mapping,https://chromewebstore.google.com/detail/maxai-ask-ai-anything-as/mhnlakgilnojmhinhkckjpncpbhabphi
HARPA AI,AI automation,400000,eanggfilgoajaocelnaflolkadkeghjp,2,5,2,3,5,4,5,5,75.6,Page-aware automation and price-monitoring data boundaries,https://chromewebstore.google.com/detail/harpa-ai-web-automation-w/eanggfilgoajaocelnaflolkadkeghjp
DeepL,AI/translation,4000000,cofdbpoegempjloogbagkncekinflcnj,4,4,1,4,5,4,5,3,74.0,Text/page-content transmission only when translation/writing features are invoked,https://chromewebstore.google.com/detail/deepl-translate-and-write/cofdbpoegempjloogbagkncekinflcnj
ChatGPT Search,Search,4000000,ejcfepkfckglbgocfkanmcdngdijcgld,4,2,1,4,5,2,5,2,62.8,Default-search redirection boundaries and unexpected navigation/query handling,https://chromewebstore.google.com/detail/chatgpt-search/ejcfepkfckglbgocfkanmcdngdijcgld
