id,target,claim_or_question,control,variant,observable,falsifying_outcome,evidence_state,status
MERLIN-AFF-001,Merlin AI,Does affiliate attribution appear only after a user action that plausibly provides a shopping benefit?,Arrive through a controlled affiliate link with Merlin absent,Repeat with Merlin installed but untouched; then explicitly invoke Merlin,Redirect chain; affiliate cookies; query parameters; storage changes,No Merlin-associated attribution appears before explicit invocation,E0,untested
MERLIN-DATA-001,Merlin AI,Does page-aware data leave the browser before the user invokes an AI/page command?,Synthetic page containing a unique canary with Merlin absent,Install Merlin and visit without opening/invoking it,Requests containing canary or page-derived data,No canary/page-derived data is transmitted before invocation,E0,untested
HOLA-DATA-001,Hola VPN,Does ordinary browsing destination data get transmitted to Hola-owned/partner endpoints beyond what is necessary to provide the proxy?,Hola absent on identical clean profile,Hola installed disconnected; then connected,Hostnames URLs query strings request bodies and timing,Observed traffic is limited to necessary connection/telemetry data consistent with disclosures and contains no unexpected destination detail,E0,untested
HOLA-DISC-001,Hola VPN,Can the Web Store overview statement about analytics not collecting browsing history/site details be reconciled with the Web Store privacy panel listing Web history?,Freeze listing text and privacy panel,Map actual extension traffic and data fields,Documentary mismatch plus observed fields,Technical behavior and documentation show no substantive inconsistency after precise definitions are applied,E0,untested
COS-AFF-001,Capital One Shopping,Does Capital One Shopping replace or create affiliate attribution without a corresponding user action/benefit?,Controlled affiliate referral with extension absent,Installed untouched; coupon check with no savings; coupon check with savings,Redirects affiliate cookies referral parameters,No attribution change occurs in passive/no-benefit conditions,E0,untested
COUPERT-AFF-001,Coupert,Does Coupert alter affiliate attribution while operating passively in the background?,Controlled affiliate referral with extension absent,Installed untouched; explicit coupon invocation,Redirects affiliate cookies referral parameters,No Coupert-associated attribution appears before explicit user invocation,E0,untested
RAKUTEN-AFF-001,Rakuten,Is affiliate/cashback attribution created only after the one-click cashback activation described in the listing?,Direct and controlled-affiliate visits with extension absent,Installed not activated; then cashback activated,Redirects affiliate cookies referral parameters,No Rakuten attribution appears before activation,E0,untested
KARMA-DATA-001,Karma,Is URL access actually limited to the current page for supported shopping functions as represented in the listing?,Visit synthetic non-shopping pages with Karma absent,Install Karma and visit unique paths/queries without interacting,Requests containing path/query/canary data,No non-shopping page URL data is transmitted or retained beyond what the disclosed feature requires,E0,untested
KARMA-AFF-001,Karma,Does affiliate attribution occur only in connection with an activated shopping benefit?,Controlled affiliate visit without Karma,Installed untouched; then cashback/coupon feature used,Redirects affiliate cookies referral parameters,No Karma attribution appears in passive condition,E0,untested
URBAN-DATA-001,Urban VPN,What destination metadata leaves the browser while Urban VPN is disconnected versus connected?,Urban VPN absent,Installed disconnected; then connected,Domains URLs DNS-like metadata request bodies,No unexpected site-level data is sent in the disconnected condition and connected behavior matches disclosures,E0,untested
RMN-AFF-001,RetailMeNot,Does commission attribution appear only when the user engages with a RetailMeNot benefit?,Controlled affiliate visit without extension,Installed untouched; coupon scan; cashback activation,Redirects affiliate cookies referral parameters,No RetailMeNot attribution appears in passive condition,E0,untested
IBOTTA-AFF-001,Ibotta,Does attribution begin only after the user clicks Activate for cashback as the listing describes?,Direct/controlled affiliate visit without extension,Installed unactivated; then Activate clicked,Redirects affiliate cookies referral parameters,No Ibotta attribution appears before activation,E0,untested
SIDER-DATA-001,Sider,Is page content transmitted only after a user invokes a page-aware AI feature?,Synthetic page with canary and Sider absent,Sider installed but idle; then sidebar/page command invoked,Canary/page text in outbound traffic,No page-content transmission occurs while idle,E0,untested
GRAMMARLY-DATA-001,Grammarly,What website content or personal-communication text is transmitted before versus during active writing assistance?,Synthetic text fields with Grammarly absent,Installed idle; suggestions enabled; explicit generative feature used,Canary text and derived text in outbound traffic,Transmission is limited to behavior necessary for disclosed user-facing functions,E0,untested
MBG-DATA-001,Malwarebytes Browser Guard,Does a security extension transmit full visited URLs/page data when only reputation/blocking functionality is needed?,Browser Guard absent,Installed with default settings on synthetic URLs,Full paths queries canary data destination endpoints,Observed telemetry is minimized and consistent with disclosures,E0,untested
